2025-09-04 13:28:33 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 4eb246e7-e81a-4489-a309-3b32dc664160, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 6 ms
2025-09-04 13:28:33 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 923c926d-da78-4476-b20e-288253a37854, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:28:33 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 923c926d-da78-4476-b20e-288253a37854, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:28:33 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 741eb02c-001e-4ef5-a21f-96b717e2eb06, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 10 ms
2025-09-04 13:28:33 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 41af7477-f44e-4d70-b4be-23338aba7f18, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 6 ms
2025-09-04 13:28:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 8bb7f220-5bce-4802-bab0-76e69a796b30, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:28:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 8bb7f220-5bce-4802-bab0-76e69a796b30, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:28:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: b425a0d1-0573-46dd-9d55-ce88220c6f1d, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 5 ms
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 6b44b94f-2c76-4ea2-8e9a-ebb0e2138b95, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 27 ms
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 57b2b660-290c-484b-a500-698bc6351201, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 19 ms
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 8b0259d5-1d64-4425-9985-72514d98213b, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 8b0259d5-1d64-4425-9985-72514d98213b, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: fe0a7edf-fff0-4d42-a306-cf0f14be5a2c, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 9 ms
